title,link,snippet,date_range,date
"Financial Express Mumbai, Thu, 12 Dec 24",https://epaper.financialexpress.com/t/26733/latest,"... Financial Express comes packed with incisive news on every relevant issue. December 12, 2024 of Mumbai. You are logged-in with following email: Download PDF.",01/01/2019 to 01/31/2019,
Reserve-bank-of-india News - Mint,https://www.livemint.com/topic/reserve-bank-of-india,"Reserve-bank-of-india News: Get the latest Reserve-bank-of-india news ... Muthoot Finance, Manappuram Finance Shares Dive 3% After RBI Flagged Gold Loan Concerns.",01/01/2019 to 01/31/2019,
Budget years of Arun Jaitley Finance Minister,https://m.economictimes.com/budget/jaitleys-budget-years,"Arun Jaitley's five-year struggle to bring down fiscal deficit. Fri, 18 Jan 2019 ; How Arun Jaitley treated businesses in his Budgets. Wed, 16 Jan 2019 ; War on ...",01/01/2019 to 01/31/2019,
Indian lender DMI Finance raises $230m from Europe's ...,https://www.dmifinance.in/indian-lender-dmi-finance-raises-230m-from-europes-new-investment-solutions/,Non-banking financial company DMI Finance Pvt. Ltd has raised $230 million from European asset management firm New Investment Solutions (NIS).,01/01/2019 to 01/31/2019,
Khushboo Narayan,https://www.financialexpress.com/author/khushboo-narayan/,"In an 18-page complaint, these investors have also alleged several financial irregularities at Cowtown Land Development. By Khushboo Narayan. Updated: March 28, ...",01/01/2019 to 01/31/2019,
"CNBCTV18 Podcast, Audio News Today, Audio Clips",https://www.cnbctv18.com/podcast/,"Listen to the latest news podcasts, audio clips, audio news, live updates, business and mutual fund podcasts, and market podcasts find and listen to the ...",01/01/2019 to 01/31/2019,
"Latest Recession News, Photos, Videos and Podcasts | Mint",https://www.livemint.com/topic/recession,"Recession News: Get the latest Recession news, photos, videos, and podcasts. Explore more for Recession breaking news, opinions, special reports, ...",01/01/2019 to 01/31/2019,
1991-1992 - Finance Ministers who shaped India's economy,https://m.economictimes.com/news/economy/finance-ministers-who-shaped-indias-economy/yashwant-sinha-1991-1992/slideshow/67521773.cms,"India had as many as 30 finance ministers after it secured independence from imperialist British rule in 1947. And, these gentlemen shaped India's economy.",01/01/2019 to 01/31/2019,
"Chandra Shekhar Ghosh, prudent banker, steps out of his ...",https://www.business-standard.com/article/finance/chandra-shekhar-ghosh-prudent-banker-steps-out-of-his-comfort-zone-119011000967_1.html,"Chandra Shekhar Ghosh has been a cautious businessman all through his career, but the acquisition of Gruh Finance appears out of character.",01/01/2019 to 01/31/2019,
ICICI Bank and Small Business FinCredit India to jointly ...,https://www.icicibank.com/about-us/article/news-icici-bank-and-small-business-fincredit-india-to-jointly-finance-credit-to-msmes-20190401113859698,"ICICI Bank today announced that it has signed a Memorandum of Understanding (MoU) with Small Business FinCredit India Pvt. Ltd. (SBFC), a systemically ...",01/01/2019 to 01/31/2019,
"Aid Accounts & Audit Division, Ministry of Finance ...",https://caaa.gov.in/,Aid Accounts and Audit division is one of the divisions under the Department of Economic Affairs. The division is led by controller of Aid Accounts and Audit ( ...,02/01/2019 to 03/03/2019,
NEWS – Page 2,https://shikshafinance.com/category/news/page/2/,"Private equity fund Zephyr Peacock India Growth Fund has led a ₹55 crore funding round in Shiksha Finance, a Chennai-based education finance company.",02/01/2019 to 03/03/2019,
Gujarat International Finance Tec-City (GIFT) -A Global ...,https://giftsez.com/gift-financialhub.aspx,"Gujarat International Finance Tech-city (GIFT) SEZ is India's first International Financial Services Centre (IFSC) under Special Economic Zone Act, ...",02/01/2019 to 03/03/2019,
Post-Budget Press Conference by Union Finance Minister ...,https://www.youtube.com/watch?v=p-KOBP2rv9k,"India, Geopolitics, International Relations, US Visa & PM Modi - Dr S ... Sadhguru News | SC Stays Madras HC Order Against Sadhguru Isha Foundation ...",02/01/2019 to 03/03/2019,
Upcoming NCD News: Indiabulls Consumer Finance Limited,https://simplehai.axisdirect.in/dynamicWeb/equtiy/NCD/Indiabulls/IndiabullsLP.html,Latest NCD by Indiabulls Consumer Finance Limited is a good opportunity for investors to buy shares/stocks in the Equity Market.,02/01/2019 to 03/03/2019,
All India Radio News,https://twitter.com/airnewsalerts/status/1091223151734910977,Finance Minister #PiyushGoyal on #Budget2019. #Budget2019 #BudgetWithAIR. Image. Ministry of Information and Broadcasting and 2 others.,02/01/2019 to 03/03/2019,
Centre for Training and Research in Public Finance and ...,https://www.ctrpfp.ac.in/,"Our objective is to establish ourselves as an authoritative research unit on public finances, tax and welfare policy, tax law, education, inequality and poverty ...",02/01/2019 to 03/03/2019,
Finance Secretary (India),https://en.wikipedia.org/wiki/Finance_Secretary_(India),This post is held by senior IAS officer of the rank of Secretary to Government of India. Tuhin Kanta Pandey is the incumbent Finance Secretary.,02/01/2019 to 03/03/2019,
ING Wholesale Banking in India,https://www.ingwb.com/en/network/asia-pacific/india,Many financial products ranging from structured finance to general lending · Record-breaking and award-winning bank · Long-term vision and proactive attitude.,02/01/2019 to 03/03/2019,
India's Municipal Finance Systems,https://carnegieendowment.org/events/2019/02/indias-municipal-finance-systems,"Despite urban cities in India being hotspots of wealth and income, they face structural and service delivery challenges due to a lack of financial resources ...",02/01/2019 to 03/03/2019,
Finance,https://www.vccircle.com/industry/finance/67/617?amp=1,"India will launch $5 billion of transmission-line tenders in phases, beginning in June, to route a targeted 175 gigawatts (GW) ...... Reuters · IIFL fund leads ...",03/04/2019 to 04/03/2019,
Namit Singh Sengar,https://www.financialexpress.com/author/namit/,"Namit Singh Sengar : Read here latest news, events news, current affairs, recene incidents by Namit Singh Sengar on financialexpress.com .",03/04/2019 to 04/03/2019,
Live News,https://www.indiainfoline.com/news/live-news,"Indiainfoline.com is financial information source. Provides information on Live Stock Price, Share Market and Analysis on Equity, Sensex, Nifty, ...",03/04/2019 to 04/03/2019,
"Latest News, Videos and Photos on Finance",https://www.india.com/topic/finance/page/15/,"India s GDP to Grow At More Than 9% In Current Fiscal: Finance Ministry in Its Review Report. Sensex Books Highest Gain In One Year, Nifty50 Closes Above ...",03/04/2019 to 04/03/2019,
Domestic Systemically Important Banks,https://www.rbi.org.in/commonman/English/scripts/PressReleases.aspx?Id=2900,"SBI, ICICI Bank, and HDFC Bank continue to be identified as Domestic Systemically Important Banks (D-SIBs), under the same bucketing structure as last year.",03/04/2019 to 04/03/2019,
Urban Finance,http://www.indiaenvironmentportal.org.in/category/2049/thesaurus/urban-finance/,"Environment News, Reports, Government Documents, Court Cases, Policy Papers, Data, Statistics, presentations, reviews, Press releases, Opinions and Analysis ...",03/04/2019 to 04/03/2019,
"RBI names SBI, ICICI and HDFC as systemically important ...",https://www.business-standard.com/article/finance/rbi-names-sbi-icici-and-hdfc-as-systemically-important-banks-119031500019_1.html,"The Reserve Bank of India (RBI) on Thursday named State Bank of India (SBI), ICICI Bank and HDFC Bank as Domestic Systemically Important Banks (D-SIBs).",03/04/2019 to 04/03/2019,
Oikocredit invests in affordable housing finance provider ...,https://www.oikocredit.coop/k/n171/news/view/304904/235625/oikocredit-invests-in-affordable-housing-finance-provider-sitara-in-india.html,"Oikocredit has made an equity investment of INR 670 million in affordable housing finance company Sitara together with Omidyar Network india, HDFC Life ...",03/04/2019 to 04/03/2019,
RBI slaps penalty on 36 banks for SWIFT non-compliance,https://m.economictimes.com/news/economy/finance/rbi-slaps-penalty-on-36-banks-for-swift-non-compliance/articleshow/68328956.cms,"The Reserve Bank on Friday said it has imposed penalties worth Rs 71 crore on 36 public, private and foreign banks for non-compliance with various directions.",03/04/2019 to 04/03/2019,
Indian banks are riding the Blockchain wave,https://www.moneycontrol.com/news/technology/indian-banks-are-riding-the-blockchain-wave-3727481.html,Indian banks are riding the Blockchain wave. Blockchain technology has the potential to change the way financial service transactions are carried out.,03/04/2019 to 04/03/2019,
International Finance Corporation NEWS,https://www.cnbctv18.com/tags/international-finance-corporation.htm,Transforming Bollywood: IFC advocates for filmmakers' intellectual property rights · International Finance Corporation gets RBI's nod for acquiring 9.7% stake in ...,04/04/2019 to 05/04/2019,
"Live BSE/NSE, India Stock Market Recommendations and ...",https://www.moneycontrol.com/promo/mc_interstitial_dfp.php?size=1280x540,"Moneycontrol is India's leading financial information source. Manage your finance with our online Investment Portfolio, Live Stock Price, Stock Trading news ...",04/04/2019 to 05/04/2019,
Finance,https://www.vccircle.com/industry/finance/67/608?amp=1,"Stay updated with the latest financial news, funding developments, government policies, and insights shaping the finance sector in India. AllProPremium. Premium.",04/04/2019 to 05/04/2019,
"Media, Latest Press Releases, News, Videos",https://www.indostarhfc.com/media,IndoStar announces succession plan by promoting Deep Jaggi to Chief Executive Officer; R. Sridhar decides to step down on completion of his five-year term.,04/04/2019 to 05/04/2019,
Personal Finance Investing Explainer,https://www.moneycontrol.com/personal-finance/explainer/,"Detailed explainers/educational articles to help you manage your personal finance better. Get explainers on mutual funds, investing, gold, Fixed income, ...",04/04/2019 to 05/04/2019,
